created,created_by_ref,description,external_references,id,indicator_types,labels,modified,name,pattern,pattern_type,pattern_version,spec_version,type,valid_from,summary
,,Indicators associated with NSecRTS.exe RAT campaign targeting Indian businesses.,,indicator--b2bc6545-07ec-4d3d-8847-8db438620da3,,"[""malicious-activity""]",,NSecRTS.exe RAT Indicators,[file:hashes.'MD5' = '4001854be1ae8e12b6dda124679a4077' OR file:hashes.'MD5' = 'F00F824FCAFBA9B26675AE8242F0B6A0' OR url:value = 'hxxps://www.akjys.top/' OR ipv4-addr:value = '154.91.84.3' OR ipv4-addr:value = '45.113.192.102' OR ipv4-addr:value = '103.235.46.102'],,,,indicator,2025-10-03T00:00:00Z,"The object contains a specific indicator related to the NSecRTS.exe RAT campaign, which is a type of malicious software. This indicator was identified by a unique identifier 'indicator--b2bc6545-07ec-4d3d-8847-8db438620da3'.

The purpose of this indicator is to provide hashes and URLs associated with the NSecRTS.exe RAT campaign, aiming to help identify potential security threats. The hashes in question are MD5 values '4001854be1ae8e12b6dda124679a4077' and 'F00F824FCAFBA9B26675AE8242F0B6A0'. These hashes are used to track specific files that may be part of the malicious campaign.

Furthermore, this indicator also identifies URLs ('hxxps://www.akjys.top/') and IP addresses ('154.91.84.3', '45.113.192.102', '103.235.46.102') as potential points of interest for the NSecRTS.exe RAT campaign. This data can be used to create alerts, monitor network traffic, or block malicious communications.

Overall, this indicator is a crucial component in detecting and mitigating the threats posed by the NSecRTS.exe RAT campaign, especially against Indian businesses."
,,"Indicators of compromise associated with BlueDelta credential harvesting campaigns, including domains, IP addresses, and URLs.","[{""source_name"": ""Recorded Future"", ""description"": ""Indicators of compromise from BlueDelta UKR.NET campaign.""}]",indicator--1ae75bc5-b8d7-4787-a1b2-0c8a96623f48,,"[""malicious-activity"", ""BlueDelta"", ""credential-harvesting""]",,BlueDelta Infrastructure Domains and IPs,[domain-name:value = 'jkbfgkjdffghh.linkpc.net' OR domain-name:value = 'kfghjerrlknsm.line.pm' OR domain-name:value = '5ae39a1b39d45d08f947bdf0ee0452ae.serveo.net' OR domain-name:value = 'ukraine.html-5.me' OR domain-name:value = 'ukrainesafe.is-great.org' OR domain-name:value = 'abaf-5-135-199-21.ngrok-free.app' OR domain-name:value = 'efbc-51-161-109-50.ngrok-free.app' OR domain-name:value = '3bb1-51-161-109-50.ngrok-free.app' OR domain-name:value = '838f-51-161-109-50.ngrok-free.app' OR domain-name:value = '3576-51-161-109-50.ngrok-free.app' OR domain-name:value = 'dd06-51-161-109-50.ngrok-free.app' OR domain-name:value = '1961-51-161-109-50.ngrok-free.app' OR domain-name:value = '2884-51-161-109-50.ngrok-free.app' OR domain-name:value = '2a06-51-161-109-50.ngrok-free.app' OR domain-name:value = '7dc8-51-161-109-50.ngrok-free.app' OR domain-name:value = 'c4cb-51-161-109-50.ngrok-free.app' OR ipv4-addr:value = '3.67.15.169' OR ipv4-addr:value = '5.135.199.21' OR ipv4-addr:value = '18.157.68.73' OR ipv4-addr:value = '51.161.109.50' OR ipv4-addr:value = '73.80.9.137' OR ipv4-addr:value = '179.43.141.80'],,,,indicator,2024-06-01T00:00:00Z,"The object contains a detailed description of an ""Indicators of Compromise"" (IOC) associated with BlueDelta credential harvesting campaigns. This IOC includes various domains, IP addresses, and URLs that are considered malicious.

Specifically, the IOC is related to the following entities:

* Domains: These include several domain names, such as jkbfgkjdffghh.linkpc.net, kfghjerrlknsm.line.pm, ukraine.html-5.me, ukrainesafe.is-great.org, and others. The exact list includes multiple domain names with varying values.
* IP Addresses: This IOC also mentions several IPv4 addresses associated with the campaigns, including 3.67.15.169, 5.135.199.21, 18.157.68.73, 51.161.109.50, and others.

The IOC is categorized under the following labels:

* Malicious-activity
* BlueDelta
* Credential-harvesting

This information was gathered from an external source called Recorded Future, which provided a description of the indicators of compromise associated with the BlueDelta UKR.NET campaign."
,,MD5 hashes of files used in the attack chain.,,indicator--83d7339d-b46a-4f4e-8bde-21071700530b,,"[""file hash"", ""indicator"", ""malware""]",,Health Checkup Attack File Hashes,[file:hashes.MD5 = 'd02be241dda3d4027f6fbd84ac015ca8' OR file:hashes.MD5 = '903cec93146327414cbc49068c524292' OR file:hashes.MD5 = '5f5f868d339aeb58c613fe7eb55e5432' OR file:hashes.MD5 = '7d994b591c2d4fafeb3e71278229566e'],,,,indicator,2025-10-01T00:00:00Z,"The object contains a threat indicator related to MD5 hashes of files used in an attack chain. The specific indicator is named 'Health Checkup Attack File Hashes'. This indicator pertains to malware analysis and has been categorized under three distinct labels, including file hash, indicator, and malware."
,,C2 domains and IP addresses used by the malware for communication.,,indicator--59ce15d6-20f7-41b5-8b24-9d199db0627d,,"[""C2"", ""indicator"", ""domain"", ""ip""]",,Health Checkup Attack C2 Domains and IPs,[domain-name:value = 'load.samework.o-r.kr' OR domain-name:value = 'attach.skycloud.o-r.kr' OR domain-name:value = 'attach.skyline.r-e.kr' OR domain-name:value = 'update.alzip.r-e.kr' OR domain-name:value = 'mail.naverwork.r-e.kr' OR domain-name:value = 'gwa.wooritg.o-r.kr' OR domain-name:value = 'mail.naverwork.o-r.kr' OR domain-name:value = 'image.secuwizvpn.r-e.kr' OR domain-name:value = 'load.rwbcode.com' OR domain-name:value = 'rwbcode.com' OR ipv4-addr:value = '162.220.11.202'],,,,indicator,2025-10-01T00:00:00Z,"The object contains a detailed description of an indicator related to malware communication. The indicator is associated with the label ""C2"", which stands for Command and Control. It describes two types of indicators: domains and IP addresses.

Specifically, the indicator highlights specific domain names that are used by malware for communication. These include:

- load.samework.o-r.kr
- attach.skycloud.o-r.kr
- attach.skyline.r-e.kr
- update.alzip.r-e.kr
- mail.naverwork.r-e.kr
- gwa.wooritg.o-r.kr
- mail.naverwork.o-r.kr
- image.secuwizvpn.r-e.kr
- load.rwbcode.com
- rwbcode.com

Additionally, the indicator includes a specific IP address that is also used by malware for communication: 162.220.11.202.

The pattern of this indicator is quite extensive and involves matching both domain names and IP addresses against specified values. This suggests that the indicator is designed to detect a wide range of malicious activities related to these domains and IP addresses.

Overall, this indicator appears to be part of an effort to monitor and track malware communication networks. Its inclusion in a threat intelligence database likely serves as an early warning system for security teams, alerting them to potential malicious activity involving these specific domains and IP addresses."
,,C2 URLs contacted by the malware.,,indicator--a24e37eb-409e-4931-91e9-a868d6e2ffa6,,"[""C2"", ""indicator"", ""url""]",,Health Checkup Attack C2 URLs,[url:value = 'http://load.samework.o-r.kr/index.php' OR url:value = 'http://load.rwbcode.com/index.php'],,,,indicator,2025-10-01T00:00:00Z,"The object contains a detailed description of an indicator, specifically a type of malware C2 (Command and Control) URL pattern. Here is a summary of the key details:

- The name of the indicator is 'Health Checkup Attack C2 URLs', indicating its connection to a malicious attack.
- It belongs to two labels: ""C2"" (indicating it's related to Command and Control operations by malware), ""indicator"", and ""url"".
- There are specific patterns identified for this indicator, which are regular expressions designed to identify malicious URLs. 
- One pattern specifically matches the URLs 'http://load.samework.o-r.kr/index.php' or 'http://load.rwbcode.com/index.php'.
- The type of the indicator is classified as a threat, indicating its potential danger.

Overall, this data suggests that the Health Checkup Attack C2 URLs are part of an identified malicious pattern in cybersecurity, used to track and analyze attacks."
,,Malicious DLL used in NotDoor DLL sideloading attack.,,indicator--6b91a9ec-d17c-4d95-9896-5defbd4337f3,,"[""malicious-file"", ""dll-sideloading""]",,SSPICLI.dll file hash,[file:hashes.'SHA-256' = '5a88a15a1d764e635462f78a0cd958b17e6d22c716740febc114a408eef66705'],,,,indicator,2025-11-14T00:00:00Z,"The object contains a detailed description of an indicator, specifically a malicious DLL file. The identifier is 'SSPICLI.dll file hash' and falls under the category of 'indicator'. 

This particular indicator is linked to a NotDoor DLL sideloading attack, which suggests that it has been identified as part of a malicious activity involving the use of DLL files for exploitation purposes.

Further details regarding this indicator include its pattern, which is based on a SHA-256 hash. The provided pattern allows users to verify if their system files match with the given hash in order to detect potential threats.

It's worth noting that the type of the object is 'indicator', meaning it's used to represent suspicious data or activities."
,,Malicious macro file used in NotDoor attack.,,indicator--b27656e6-8a0e-454a-b8b5-31ba4a4951c6,,"[""malicious-file"", ""outlook-macro""]",,testtemp.ini file hash,[file:hashes.'SHA-256' = '8f4bca3c62268fff0458322d111a511e0bcfba255d5ab78c45973bd293379901'],,,,indicator,2025-11-14T00:00:00Z,"The object contains a detailed summary of an indicator record. 

This indicator is associated with a malicious macro file used in a NotDoor attack. The file type is identified by the labels 'malicious-file' and 'outlook-macro', indicating it is a potentially hazardous file.

A pattern was found for this indicator, which specifically relates to SHA-256 hashes of file hashes. This pattern matches files that meet certain criteria related to hash values of '8f4bca3c62268fff0458322d111a511e0bcfba255d5ab78c45973bd293379901'.

The relevant information for this indicator includes its name, which is 'testtemp.ini file hash', and the types of indicators it belongs to. 

This data does not include any information that would help in understanding who created or modified this record; such details are missing as indicated by 'nan' (not a number)."
,,Indicators of compromise for Mirai and Rondo miner campaigns exploiting CVE-2025-55182.,,indicator--04a10532-6d19-4562-83aa-3d08511dd2f5,,"[""malicious-activity"", ""botnet"", ""cryptocurrency-miner""]",,Malicious IP addresses and URLs for Mirai and Rondo campaigns,[ipv4-addr:value = '193.34.213.150' OR ipv4-addr:value = '41.231.37.153' OR ipv4-addr:value = '89.144.31.18' OR ipv4-addr:value = '31.56.27.76' OR ipv4-addr:value = '172.237.55.180' OR ipv4-addr:value = '23.228.188.126' OR ipv4-addr:value = '176.117.107.154' OR ipv4-addr:value = '23.132.164.54'] OR [url:value = 'http://193.34.213.150/nuts/x86' OR url:value = 'http://193.34.213.150/nuts/bolts' OR url:value = 'http://89.144.31.18/nuts/x86' OR url:value = 'http://89.144.31.18/nuts/bolts' OR url:value = 'http://31.56.27.76/n2/x86' OR url:value = 'http://172.237.55.180/c' OR url:value = 'http://gfxnick.emerald.usbx.me/bot' OR url:value = 'http://41.231.37.153/rondo.aqu.sh' OR url:value = 'http://23.228.188.126/rondo.aqu.sh' OR url:value = 'http://176.117.107.154/bot' OR url:value = 'http://23.132.164.54/bot' OR url:value = 'https://f003.backblazeb2.com/file/mova12/98201-1-8/bot'],,,,indicator,2025-12-09T00:00:00Z,"The object contains a detailed description of an indicator of compromise (IoC) related to Mirai and Rondo miner campaigns exploiting CVE-2025-55182. The IoC is identified by the label ""malicious-activity"", ""botnet"", and ""cryptocurrency-miner"". 

It appears that this IoC is associated with specific IP addresses and URLs that are known to be used in these malicious campaigns. These include a total of eight unique IPv4 addresses and nine different URLs. The pattern used to identify this IoC involves an 'OR' statement, allowing for any of the specified IPv4 addresses or URLs to match.

The exact nature of the malware campaigns associated with this IoC is not explicitly stated, but it can be inferred that they involve Mirai and Rondo miner payloads designed to exploit a specific CVE-2025-55182 vulnerability."
,,File hashes associated with Mirai and Rondo miner payloads delivered via React2Shell exploitation.,,indicator--b474c963-50f3-48b4-8821-c7fe506961bc,,"[""malicious-file"", ""botnet"", ""cryptocurrency-miner""]",,Malicious file hashes for Mirai and Rondo campaigns,[file:hashes.'MD5' = '622f904bb82c8118da2966a957526a2b' OR file:hashes.'MD5' = 'a51a5c1e7d2bc3f7b2e3489f92a55d46' OR file:hashes.'MD5' = 'aaca45131c5a5a95d384431e415474f7' OR file:hashes.'MD5' = 'ca7f4b8e296fc4ef46ecb07218434e1b' OR file:hashes.'MD5' = 'c50db4734195579e83834b2a84758cea' OR file:hashes.'MD5' = 'e13a61420568eb596224ff8e48ea415a' OR file:hashes.'MD5' = '025f5e04e54497242749ec480310fd7e' OR file:hashes.'MD5' = '3ba4d5e0cf0557f03ee5a97a2de56511' OR file:hashes.'MD5' = 'bf9d7224e709b4ac90a498418af20d3a'],,,,indicator,2025-12-09T00:00:00Z,"The object contains information about a malicious file hash indicator related to Mirai and Rondo miner payloads. The indicator is associated with React2Shell exploitation and consists of multiple MD5 hashes obtained from file hashes.

These hashes were obtained from various sources, including but not limited to, Cryptocurrency miners and Botnets. They are related to malicious files that have been used in past attacks.

The pattern for this indicator involves a series of ""OR"" conditions, which include the presence of specific MD5 hashes within file hashes. This allows users to identify potentially malicious files with these hashes.

Overall, this indicator provides valuable information about the types of malicious files associated with Mirai and Rondo miner payloads, and can be used to help protect against similar attacks in the future."
2026-01-13T14:17:09.001778Z,identity--3abdfe00-0062-2e3f-9459-6b2f24935d67,"Indicator of Compromise: url - https://my.salesforce.com/services/data/v64.0/graphql
Confidence: medium
Notes: Used in attack scenarios to retrieve large volumes of records from Salesforce objects, bypassing standard UI record limits if permissions are misconfigured.",,indicator--344164e6-8af1-43f4-b390-34b6db5f2d18,"[""malicious-activity""]",,2026-01-13T14:17:09.001778Z,URL: https://my.salesforce.com/services/data/v64.0/graphql,[url:value = 'https://my.salesforce.com/services/data/v64.0/graphql'],stix,2.1,2.1,indicator,2026-01-13T14:17:09.001778Z,"The object contains a detailed description of an indicator of compromise (IoC) for malicious activity related to Salesforce. The IoC is identified by the URL ""https://my.salesforce.com/services/data/v64.0/graphql"" and has a confidence level of medium.

This IoC is used in attack scenarios to retrieve large volumes of records from Salesforce objects, bypassing standard UI record limits if permissions are misconfigured. This allows attackers to access sensitive data without being restricted by normal user interface limitations.

The indicator's pattern matches the URL ""https://my.salesforce.com/services/data/v64.0/graphql"" and is classified as a STIX pattern with a version of 2.1. The IoC also has an external reference, but this value is currently undefined (nan).

In terms of labels and metadata, the IoC does not have any defined labels or modified timestamps. However, it was created on January 13th, 2026, at 14:17:09 UTC, and both the creation and modification times are identical.

Overall, this indicator of compromise highlights a potential vulnerability in Salesforce that could be exploited by attackers to access sensitive data without normal user interface restrictions."
,,Hashes of APK files associated with Frogblight malware.,"[{""source_name"": ""Kaspersky OpenTip"", ""url"": ""https://opentip.kaspersky.com/""}]",indicator--0736e380-e99a-4dba-8245-f40195f2835a,,"[""malware"", ""android"", ""frogblight""]",,Frogblight APK Hashes,[file:hashes.'MD5' = '8483037dcbf14ad8197e7b23b04aea34' OR file:hashes.'MD5' = '105fa36e6f97977587a8298abc31282a' OR file:hashes.'MD5' = 'e1cd59ae3995309627b6ab3ae8071e80' OR file:hashes.'MD5' = '115fbdc312edd4696d6330a62c181f35' OR file:hashes.'MD5' = '08a3b1fb2d1abbdbdd60feb8411a12c7' OR file:hashes.'MD5' = 'd7d15e02a9cd94c8ab00c043aef55aff' OR file:hashes.'MD5' = '9dac23203c12abd60d03e3d26d372253'],,,,indicator,,"The object contains a detailed description of an indicator related to malware analysis. Specifically, it pertains to the hashes of APK files associated with Frogblight malware.

Frogblight is a type of malware that targets Android devices, and this particular indicator is designed to detect and flag the presence of these malicious APKs based on their MD5 hash values.

The indicator includes multiple specific MD5 hash values as part of its pattern. These hashes are extracted from APK files associated with Frogblight malware, and the pattern checks if any of these hashes match within a given file or directory.

Furthermore, this indicator is categorized under several labels, including ""malware"", ""android"", and ""frogblight"". This classification system enables analysts to quickly identify and track threats that may be related to Frogblight malware.

In terms of external references, the object links back to Kaspersky OpenTip for further information on the topic. This suggests a potential source of additional context or insight into the nature and behavior of Frogblight malware."
,,Command and control domains associated with Frogblight.,,indicator--c3fca31e-ae77-4324-bdb3-b5a8c9bf00c0,,"[""c2"", ""malware"", ""frogblight""]",,Frogblight C2 Domains,[domain-name:value = '1249124fr1241og5121.sa.com' OR domain-name:value = 'froglive.net'],,,,indicator,,"The object contains a JSON object representing an indicator related to cybersecurity threats. Specifically, it appears to be a description of the command and control domains associated with the Frogblight threat actor.

Here is a detailed summary of the key fields:

* **Description**: The indicator describes command and control domains associated with the Frogblight threat actor.
* **Pattern**: The pattern is a regular expression that matches two specific domain names: ""1249124fr1241og5121.sa.com"" and ""froglive.net"". This suggests that these domains may be used as command and control servers by the Frogblight group.
* **Labels**: The indicator is labeled with three keywords: ""c2"", ""malware"", and ""frogblight"". These labels likely indicate the nature of the threat actor and its activities.

Overall, this indicator provides a brief description of the Frogblight threat actor's command and control domains, which can be useful for researchers and analysts seeking to understand the tactics, techniques, and procedures (TTPs) used by this group."
,,Command and control IP address associated with Frogblight.,,indicator--78049328-4ed7-4904-a5e7-8e1d19877d25,,"[""c2"", ""malware"", ""frogblight""]",,Frogblight C2 IP Address,[ipv4-addr:value = '45.138.16.208'],,,,indicator,,"The object contains a detailed description of an indicator associated with the term ""Frogblight"". The key information about this indicator is as follows:

- It is categorized under the type 'indicator' indicating that it is a specific piece of data used to identify or describe something.
- The label assigned to it includes ""c2"", which stands for Command and Control, ""malware"", and ""frogblight"" - all three terms point towards its connection with malicious activity or a threat actor known as Frogblight.
- A pattern has been defined for this indicator. In this case, the pattern is specified as [ipv4-addr:value = '45.138.16.208'], which essentially means that the IP address 45.138.16.208 should be matched to see if it relates to the Frogblight C2.
- The label and pattern are specifically tailored towards identifying potential malicious IP addresses or network connections."
,,URLs used to distribute Frogblight APK files.,,indicator--e98488a1-f5da-4230-9bd2-7cfb707102a9,,"[""malware distribution"", ""android"", ""frogblight""]",,Frogblight Distribution URLs,[url:value = 'https://farketmez37.cfd/e-ifade.apk' OR url:value = 'https://farketmez36.sbs/e-ifade.apk' OR url:value = 'https://e-ifade-app-5gheb8jc.devinapps.com/e-ifade.apk'],,,,indicator,,"The object contains a detailed description of an indicator related to malware distribution, specifically Frogblight APK files. The indicator is identified by the ID 'indicator--e98488a1-f5da-4230-9bd2-7cfb707102a9'. 

It appears that this indicator uses URLs as patterns to detect the distribution of Frogblight APK files, which are likely malicious. The URL patterns include multiple variations such as 'https://farketmez37.cfd/e-ifade.apk', 'https://farketmez36.sbs/e-ifade.apk', and 'https://e-ifade-app-5gheb8jc.devinapps.com/e-ifade.apk'. These patterns may be used to identify potential threats related to the Frogblight malware.

The indicator has a label associated with it, which includes the keywords ""malware distribution"", ""android"", and ""frogblight"". This suggests that the indicator is designed to detect and alert on instances of Frogblight-related activity."
,,GitHub repositories containing Frogblight phishing website source code and APK files.,,indicator--42c74676-c38e-4b6b-9e55-a6ca0975d55e,,"[""malware"", ""phishing"", ""frogblight""]",,Frogblight GitHub Repositories,[url:value = 'https://github.com/eraykarakaya0020/e-ifade-vercel' OR url:value = 'https://github.com/Chromeapk'],,,,indicator,,"The object contains information about a threat indicator related to the Frogblight phishing website. 

Here's a detailed breakdown of the data:

- The Frogblight phishing website is associated with GitHub repositories that contain its source code and APK files.
- This threat indicator is categorized under malware, phishing, and specifically named ""Frogblight"".
- A pattern has been identified to detect potential malicious activity involving the Frogblight website. 
- The pattern involves checking for a specific URL or value in two different GitHub repositories: one by eraykarakaya0020/e-ifade-vercel and another by Chromeapk.
- This information serves as a reference point for threat actors to identify potential phishing campaigns and to detect malicious activity related to the Frogblight website."
,,Indicator of compromise for Gladinet CentreStack and Triofox vulnerability. Encrypted GET request targeting web.config file.,,indicator--575d6022-2cbe-49c5-b58f-b1ee786ddb91,,"[""Gladinet"", ""CentreStack"", ""Triofox"", ""web.config"", ""indicator-of-compromise""]",,Encrypted GET request for web.config,[network-traffic:extensions.'http-request-ext'.request_uri = '/storage/filesvr.dn' AND network-traffic:extensions.'http-request-ext'.query_string MATCHES 't=vghpI7EToZUDIZDdprSubL3mTZ2'],,,,indicator,2025-11-29T00:00:00Z,"The object contains a detailed description of an indicator of compromise (IOCs) related to a specific vulnerability. The IOC is described as an encrypted GET request targeting the web.config file.

This particular IOC is associated with three main entities: Gladinet CentreStack and Triofox, which are likely software applications or services that have been compromised. The IOC specifically mentions that it involves a web.config file, which is a configuration file used in web applications to store settings and data.

The pattern associated with this IOC suggests that it involves network traffic related to HTTP requests. Specifically, the pattern matches any request where the request URI is '/storage/filesvr.dn' and the query string contains the value 't=vghpI7EToZUDIZDdprSubL3mTZ2'. This indicates that the IOC may be related to a specific type of malicious activity, such as data exfiltration or lateral movement in a network.

The labels associated with this IOC include ""Gladinet"", ""CentreStack"", ""Triofox"", ""web.config"", and ""indicator-of-compromise"". These labels suggest that the IOC has been categorized based on its relevance to these specific entities, which may be of interest to threat hunters or incident responders."
,,Observed threat actor IP address used in exploitation of Gladinet CentreStack and Triofox vulnerability.,,indicator--eed701ac-2367-4450-9acf-d507568d0dde,,"[""Gladinet"", ""CentreStack"", ""Triofox"", ""indicator-of-compromise"", ""ip-address""]",,Attacker IP Address,[network-traffic:src_ref.value = '147.124.216.205'],,,,indicator,2025-12-10T00:00:00Z,"The object contains a detailed description of an Indicator of Compromise (IOC) related to a threat actor's IP address. The IOC is specifically linked to the exploitation of vulnerabilities in the Gladinet CentreStack and Triofox systems.

The indicator in question is identified by its unique ID, 'indicator--eed701ac-2367-4450-9acf-d507568d0dde', and is categorized as an IP address. This particular IP address was observed to be used in malicious activities against these vulnerable systems.

The description of the IOC highlights the specific details of the indicator, including its label, which includes the names of the affected systems (Gladinet, CentreStack, and Triofox) and the type of threat actor involved (indicator-of-compromise and ip-address).

To further characterize this IOC, it has a unique pattern associated with it. The pattern is specified as ""[network-traffic:src_ref.value = '147.124.216.205']"", which suggests that this IP address was detected in network traffic coming from or destined to the specified IP address.

Overall, this IOC provides valuable information for threat actors and security professionals looking to identify and mitigate potential malicious activities involving IP addresses associated with vulnerable systems."
,,File hashes associated with SwimSnake malware samples.,,indicator--096a5ae4-a03c-4139-a368-63e5a094dd19,,"[""malware hash"", ""SwimSnake""]",,SwimSnake Malware Hashes,[file:hashes.'MD5' = '05946B9848551EB738C9FDF748AF0FF2' OR file:hashes.'MD5' = '42DDB89706155089A04B9EBA5E661516' OR file:hashes.'MD5' = 'DDB9A28B72098EE0EC2308D90F2E0334' OR file:hashes.'MD5' = 'E4234ABFFC87519AFAC9705CA73B7C30' OR file:hashes.'MD5' = '04264646287BB028AD5280CF4DA39358' OR file:hashes.'MD5' = 'DA0D77E9AC7A60F67D55256E55307713' OR file:hashes.'MD5' = '0D9B54B8BFE67CE90A98102D763345F9' OR file:hashes.'MD5' = '5231A08C5286803E300AC657E37272F8' OR file:hashes.'MD5' = '8A7442439EF37055D790A724BA48BEE0' OR file:hashes.'MD5' = 'C2A1E8510738DDF23B839EEF223F7BEC' OR file:hashes.'MD5' = '893EDFA3A3A71D71CA670424E554E04C' OR file:hashes.'MD5' = 'C416A4664A84A5BD4F8F032472E56CDD' OR file:hashes.'MD5' = '0462F77AE086E8CDC48F9A21758FD67E' OR file:hashes.'MD5' = '212FC4B489C15436DE3E34AC96E1207B' OR file:hashes.'MD5' = '08CFAAC200ED8052A63020F115C6A75A' OR file:hashes.'MD5' = '07C8B3BF5EF18BDD646980F765DE0FC6' OR file:hashes.'MD5' = 'E059CF1F9169302A0FF91B0061DA1C14' OR file:hashes.'MD5' = '234CCBCB8460721AA990A350D2237036' OR file:hashes.'MD5' = '0D7D0CF8A31422CD9A88FA90AD7560EB' OR file:hashes.'MD5' = 'B6EDE7ECBB980723EC43C7B1BDE059B9' OR file:hashes.'MD5' = '8DC9C86CF33FC0CBC20CFD3CB6F5D3A3' OR file:hashes.'MD5' = '1C993A7B64D9E7C3379AB8849D6F17D4' OR file:hashes.'MD5' = '0C9B34B15361B87B738DC06FC4194086' OR file:hashes.'MD5' = '5B81E82E3C4594D82085F6A0E0563A07' OR file:hashes.'MD5' = '18A4DFF46A1BAE8E317A999A1837F8F2'],,,,indicator,,"Here is a detailed summary of the data:

The object contains information about SwimSnake malware hashes. These hashes are associated with specific file patterns that are indicative of the SwimSnake malware. The data includes a list of 18 different MD5 hashes, each corresponding to a unique file pattern.

The labels for this indicator are ""malware hash"" and ""SwimSnake"", indicating its connection to the SwimSnake malware.

There is no information available about the creator of this object or when it was created, as these fields have null values (nan).

There is also no information available about the external references or pattern types associated with this data."
,,C2 servers and URLs associated with SwimSnake malware.,,indicator--e3225b23-ba1c-4ad6-964c-ef30eab48d4a,,"[""C2"", ""SwimSnake"", ""infrastructure""]",,SwimSnake C2 Infrastructure,[url:value = 'https://www.bg-wps.com' OR url:value = 'https://pub-3d7ecf8d8ed94374b9fb10d61138bd72.r2.dev/Wjfrpsl.zip' OR ipv4-addr:value = '154.86.0.40' OR domain-name:value = 'ydbao6.cyou'],,,,indicator,,"The object contains a detailed description of an indicator related to malware analysis. The indicator is identified as ""SwimSnake C2 Infrastructure"" and is associated with SwimSnake malware.

The pattern for this indicator is complex, involving multiple URLs and IP addresses. It includes the following conditions:

* A URL that equals 'https://www.bg-wps.com'
* A URL that equals 'https://pub-3d7ecf8d8ed94374b9fb10d61138bd72.r2.dev/Wjfrpsl.zip'
* An IP address that equals 154.86.0.40
* A domain name that equals ydbao6.cyou

This pattern is likely used to identify and flag potential SwimSnake malware communications.

The indicator has been categorized with labels ""C2"", ""SwimSnake"", and ""infrastructure"", indicating its nature as a command and control (C2) infrastructure related to the SwimSnake malware."
,,Indicators of compromise associated with LUMMA Stealer campaign.,,indicator--f1a69e49-571c-4f67-adef-01a5f8ed1d09,,"[""malicious-URL"", ""C2""]",,LUMMA Stealer C2 and Malicious URLs,[url:value = 'hxxps://astapowerproject[.]net/' OR url:value = 'hxxp://astapowerproject[.]net/' OR url:value = '871549.eliteeyeview[.]co' OR url:value = 'myvantage.getitquickly[.]biz' OR url:value = '657.s3.fr-par.scw[.]cloud' OR url:value = '2no.co' OR url:value = 'blameaowi[.]run' OR url:value = 'https://blameaowi.run/twiu' OR url:value = 'https://flowerexju.bet/lanz' OR url:value = 'https://mzmedtipp.live/mnvzx' OR url:value = 'https://easterxeen.run/zavc' OR url:value = 'https://araucahkbm/live/baneb' OR url:value = 'https://overcovtcg.top/juhd' OR url:value = 'https://blackswmxctop/bgry' OR url:value = 'https://posseswsnc.top/akds' OR url:value = 'https://4featurlyin.top/akds'],,,,indicator,2025-05-01T00:00:00Z,"The object contains an indicator of compromise associated with the LUMMA Stealer campaign. The indicator is labeled as malicious-URL and C2 (command and control). It uses a specific pattern to identify compromised URLs that are part of the LUMMA Stealer campaign.

The pattern matches URLs that have a specific value, which includes a range of domain names such as ""astapowerproject[.]net"", ""eliteeyeview[.]co"", and others. These domains are likely used by the LUMMA Stealer campaign to host malicious content.

The indicator is classified as an indicator type, which suggests that it is being used to identify potential security threats related to the LUMMA Stealer campaign. The pattern type and version are not specified, suggesting that this information may be missing or not available.

In summary, the object contains a specific pattern that identifies compromised URLs associated with the LUMMA Stealer campaign, which is labeled as malicious-URL and C2. This indicator is likely being used to detect potential security threats related to the campaign."
