aliases,country,created,description,external_references,first_seen,goals,id,labels,last_seen,modified,name,object_marking_refs,primary_motivation,regions,resource_level,roles,secondary_motivation,secondary_motivations,targets,threat_actor_types,type,summary
,,,"A Chinese-speaking threat actor known for SEO poisoning, fraud, and promoting services globally. Associated with ttseo66[.]com and Telegram contact ggfa55. Activity cluster related but distinct from WEBJACK.","[{""source_name"": ""ttseo66[.]com"", ""url"": ""https://ttseo66.com/""}]",,"[""SEO poisoning"", ""fraud"", ""promotion of services""]",intrusion-set--e597d667-06c4-48c8-99bf-de729a0ae5b6,,,,DragonRank,,financial,,organization,,,,,,intrusion-set,"The object contains a detailed description of an intrusion set threat actor known as DragonRank. This organization is associated with various malicious activities, including SEO poisoning, fraud, and promoting services globally.

DragonRank's primary motivation appears to be financial gain, driven by the promotion of services and exploitation of vulnerabilities for illicit purposes. The threat actor's methods include SEO poisoning, a technique used to manipulate search engine rankings and redirect users to malicious websites.

The organization is linked to ttseo66[.]com and Telegram contact ggfa55, suggesting a presence in the dark web and social media platforms. DragonRank's activity cluster is distinct from WEBJACK but shares some similarities with other threat actors.

Key characteristics of DragonRank include:

- A focus on SEO poisoning and fraud
- Promotion of services globally for financial gain
- Association with ttseo66[.]com and Telegram contact ggfa55
- Distinct activity cluster, separate from WEBJACK
- Malicious activities driven by primary motivation of financial gain

Overall, DragonRank represents a significant threat actor in the cyber security landscape, employing sophisticated tactics to manipulate online environments for malicious purposes."
"[""Cavalry Werewolf""]",,,"Cavalry Werewolf is a hacker group targeting Russian government organizations. The group prefers to use open-source malware, including various backdoors, for remote command execution and persistence in compromised networks. They frequently use phishing emails with malicious attachments as an initial access vector and leverage Telegram API for C2 operations.","[{""source_name"": ""Dr.Web PDF Report"", ""url"": ""https://st.drweb.com/static/new-www/news/2025/october/cavalry_werewolf/Cavalry_Werewolf_ru.pdf""}]",,"[""Collection of confidential information"", ""Network reconnaissance"", ""Persistence in target infrastructure""]",intrusion-set--3c2df300-405a-481b-bef8-66daaf37e86c,,,,Cavalry Werewolf,,espionage,,organization,,,,,,intrusion-set,"The object contains information about a hacker group known as Cavalry Werewolf. The group is identified by various aliases, but the most commonly referred to name is Cavalry Werewolf.

Cavalry Werewolf targets Russian government organizations and has been observed using open-source malware for its attacks. This includes backdoors, which are used for remote command execution and persistence in compromised networks. The group typically initiates its attacks through phishing emails with malicious attachments.

Additionally, the group utilizes Telegram API for communication and control (C2) operations with infected systems. There is also a PDF report available from Dr.Web that provides more details about the group's activities, which can be found at https://st.drweb.com/static/new-www/news/2025/october/cavalry_werewolf/Cavalry_Werewolf_ru.pdf.

The goals of Cavalry Werewolf include collecting confidential information, conducting network reconnaissance, and maintaining persistence in compromised networks. The primary motivation behind these actions is espionage, although the specific motivations are not fully specified.

It is worth noting that there is limited information available about this particular group, as some fields such as first seen, last seen, and resource level are missing or not provided."
"[""Bronze Highland"", ""Daggerfly"", ""StormBamboo""]",,,"Evasive Panda is an advanced persistent threat (APT) group active since at least 2012, known for sophisticated and evolving tactics. The group has conducted highly-targeted campaigns, including adversary-in-the-middle (AitM) attacks, supply-chain compromise, and watering-hole attacks. They are known to use DNS poisoning, custom loaders, and the MgBot implant for long-term persistence and defense evasion. Victims have been observed in Türkiye, China, and India.",,2012-01-01T00:00:00Z,"[""Long-term persistence"", ""Espionage"", ""Targeting multiple industries""]",intrusion-set--322b3a4f-1ff8-4d6e-b37a-7cf1802211fe,,,,Evasive Panda,,espionage,,organization,,,,,,intrusion-set,"The object contains detailed information about an advanced persistent threat (APT) group known as Evasive Panda. The group has been active since at least 2012 and is recognized for its sophisticated and evolving tactics.

Evasive Panda has conducted highly-targeted campaigns, utilizing various techniques such as adversary-in-the-middle (AitM) attacks, supply-chain compromise, and watering-hole attacks. They have also employed DNS poisoning, custom loaders, and the MgBot implant to achieve long-term persistence and defense evasion.

The group's primary motivation for espionage is evident in their actions, which include targeting multiple industries. Their goals are categorized into three main objectives: long-term persistence, espionage, and targeting various sectors of industry.

Evasive Panda has been observed to target victims in several countries, including Türkiye, China, and India. The group's tactics have resulted in significant damage and compromise to the security of its targets.

In summary, Evasive Panda is a sophisticated APT group that has been active since 2012, conducting highly targeted campaigns using advanced techniques. Their primary motivation for espionage is evident in their actions, which aim to achieve long-term persistence, steal sensitive information, and disrupt the operations of various industries."
"[""Coper distributors (suspected)""]",,,The actor behind Frogblight is currently unattributed but is suspected to be Turkish-speaking and may have previously distributed Coper malware under the MaaS model.,"[{""source_name"": ""Kaspersky Securelist"", ""url"": ""https://securelist.com/frogblight-banker/118440/""}]",,,intrusion-set--023afe7a-aeff-4f28-bcfa-1d60905c6513,"[""android"", ""banking"", ""malware-as-a-service"", ""turkey"", ""unattributed""]",,,Unattributed Android Banking Threat Actor,,,,,,,,,,intrusion-set,"The object contains information about an unattributed Android banking threat actor. The actor is suspected to be of Turkish-speaking origin and may have previously distributed Coper malware under the MaaS model.

The threat actor's description states that the individual behind Frogblight, a malicious activity detected by Kaspersky Securelist, remains unidentified but is believed to have ties to Turkey and possibly engaged in distributing Coper malware in the past.

A key takeaway from this data is that the unattributed Android banking threat actor is likely of Turkish-speaking origin and may be involved in distributed malware campaigns."
[],,,Threat actor known to use Snake Keylogger in conjunction with Formbook as a loader.,,,"[""Credential theft"", ""Information gathering""]",intrusion-set--c6b6dd93-6783-43aa-afd9-ecb9854d9de8,,,,UAC-0041,,,,organization,,,,,,intrusion-set,"The object contains information about a threat actor known as UAC-0041. This actor is associated with the use of Snake Keylogger in conjunction with Formbook as a loader.

The goals of this threat actor are primarily focused on credential theft and information gathering. These objectives suggest that the primary motivation behind UAC-0041's activities is to obtain sensitive information from its targets.

Despite not having specific details about the regions or countries where UAC-0041 operates, it is clear that this threat actor has a targeted approach, focusing on organization-level attacks rather than broader geographic regions.

There are no further details provided in the object about its primary motivation, secondary motivations, roles, resource level, threat actor types, targets, or labels."
[],,,"Threat actor using steganography and multiple malware families (AgentTesla, FormBook, Remcos, LokiBot, GuLoader, XWorm) including Snake Keylogger.",,,"[""Credential theft"", ""Information gathering""]",intrusion-set--db3904b7-f4ea-4b2c-b4df-db90dcc33c26,,,,TA558,,,,organization,,,,,,intrusion-set,"The object contains information about a threat actor named TA558, which uses steganography and multiple malware families, including AgentTesla, FormBook, Remcos, LokiBot, GuLoader, XWorm, and Snake Keylogger. The primary goal of this threat actor is to achieve credential theft and information gathering."
"[""APT38"", ""Hidden Cobra"", ""Bluenoroff""]",,,"Lazarus Group is a North Korean state-sponsored threat actor responsible for a wide range of cyber operations, including espionage, financial theft, and destructive attacks. The group is known for its use of evolving malware families, credential theft toolkits, and repeated infrastructure patterns, including FRP tunneling and certificate reuse.",,,"[""Espionage"", ""Financial gain"", ""Destructive operations""]",intrusion-set--43368410-79d3-46ba-8314-4bc498a33e1d,,,,Lazarus Group,,organizational-gain,,government,,,"[""personal-gain"", ""ideology""]",,,intrusion-set,"The object contains information about the Lazarus Group, a North Korean state-sponsored threat actor. The group is known for its involvement in various cyber operations, including espionage, financial theft, and destructive attacks.

The Lazarus Group's tactics and techniques include the use of evolving malware families, credential theft toolkits, and repeated infrastructure patterns such as FRP tunneling and certificate reuse. This approach allows the group to maintain a high level of persistence and adaptability in its cyber operations.

The primary motivation behind the Lazarus Group's activities is organizational gain, although personal gain and ideological motivations may also play a role. The group's goals include espionage, financial gain, and destructive operations, which are carried out through various means such as hacking, phishing, and malware distribution.

The Lazarus Group is considered a sophisticated threat actor due to its use of advanced techniques and its ability to evade detection by security measures. Its involvement in cyber operations has been linked to several high-profile incidents, including data breaches and financial losses suffered by organizations worldwide."
"[""Thallium"", ""Velvet Chollima""]",,,"Kimsuky is a North Korean state-sponsored threat actor focused primarily on cyber espionage. The group shares infrastructure and toolkits with other DPRK groups such as Lazarus, and is known for credential harvesting and the use of open directories for staging tools.",,,"[""Espionage""]",intrusion-set--de7a2f8a-788a-4970-a922-4f8f198de419,,,,Kimsuky,,organizational-gain,,government,,,,,,intrusion-set,"The object contains information about a North Korean state-sponsored threat actor group known as Kimsuky. The group is focused primarily on cyber espionage and shares infrastructure and toolkits with other DPRK groups, including Lazarus.

Kimsuky's primary goal is espionage, and the group has been involved in credential harvesting and the use of open directories for staging tools. This suggests that the group's main motivation is organizational gain, as they aim to gather sensitive information from their targets for the benefit of their organization.

The group's tactics and techniques are likely to involve sophisticated cyber attacks, but specific details about their methods are not provided in this data. Nevertheless, Kimsuky's activities demonstrate a clear commitment to espionage and cyber warfare."
"[""游蛇团伙"", ""银狐"", ""谷落大盗""]",,,"SwimSnake Group (游蛇团伙/银狐/谷落大盗) is a Chinese-speaking cybercriminal organization active since at least 2022. The group operates SwimSnake RAT and related malware, targeting domestic Chinese users for fraud, credential theft, and data exfiltration. They employ phishing emails, SEO poisoning, fake download sites, and social engineering via instant messaging platforms (WeChat, QQ) to lure victims. The group is known for Fraud-as-a-Service (FaaS) operations, selling or leasing attack tools and infrastructure to other criminal affiliates.","[{""source_name"": ""Antiy"", ""url"": ""https://www.antiy.cn/research/notice&report/research_report/SwimSnake_Analysis_202404.html""}]",,"[""fraud"", ""credential theft"", ""data exfiltration""]",intrusion-set--bf0582a3-4c93-4677-9967-b7f112c06cbd,"[""游蛇团伙"", ""银狐"", ""谷落大盗"", ""FaaS"", ""Fraud-as-a-Service""]",,,SwimSnake Group,,financial,,organization,,,,,,intrusion-set,"The object contains information about the SwimSnake Group, a Chinese-speaking cybercriminal organization active since at least 2022. The group operates under various aliases, including ""游蛇团伙"", ""银狐"", and ""谷落大盗"". 

This group primarily targets domestic Chinese users for fraud, credential theft, and data exfiltration through phishing emails, SEO poisoning, fake download sites, and social engineering via instant messaging platforms such as WeChat and QQ. One of the distinctive features of this organization is its Fraud-as-a-Service (FaaS) operations, where it sells or leases attack tools and infrastructure to other criminal affiliates. 

Key goals of the SwimSnake Group include fraud, credential theft, and data exfiltration, with a primary motivation driven by financial gain. The group is classified under various labels, including ""游蛇团伙"", ""银狐"", ""谷落大盗"", ""FaaS"", and ""Fraud-as-a-Service""."
"[""LongNosedGoblin""]",,,"A China-aligned APT group discovered by ESET Research, active since at least September 2023, targeting governmental entities in Southeast Asia and Japan for cyberespionage. The group uses Group Policy for malware deployment and lateral movement, and cloud services like OneDrive and Google Drive for C&C.","[{""source_name"": ""ESET Research"", ""url"": ""https://www.welivesecurity.com/en/eset-research/longnosedgoblin-tries-sniff-out-governmental-affairs-southeast-asia-japan/""}, {""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/groups/""}]",2023-09-01T00:00:00Z,"[""Cyberespionage"", ""Information theft from governmental entities""]",intrusion-set--fc422fe3-cb13-4a69-ab96-f4d78f76a427,,,,LongNosedGoblin,,espionage,,organization,,,[],,,intrusion-set,"The object contains information about the LongNosedGoblin intrusion set, a China-aligned APT group. The group was discovered by ESET Research and is active since at least September 2023.

The LongNosedGoblin group primarily engages in cyberespionage activities, targeting governmental entities in Southeast Asia and Japan for information theft. They use various tactics to achieve their objectives, including the use of Group Policy for malware deployment and lateral movement, as well as cloud services such as OneDrive and Google Drive for command and control (C&C) purposes.

The group's activities are centered around espionage, with specific goals that include cyberespionage and information theft from governmental entities. They also utilize other tactics to further their objectives, which are not explicitly stated in the provided data.

Overall, the LongNosedGoblin intrusion set is a sophisticated APT group that poses a significant threat to governmental entities in Southeast Asia and Japan due to its advanced techniques and targeted approach."
"[""ToddyCat APT""]",,,"ToddyCat is an advanced persistent threat (APT) group known for evolving techniques to covertly access business correspondence and credentials from target organizations, including attacks against Microsoft Exchange Server, Microsoft 365, and Gmail. The group has deployed custom tools for credential theft, email exfiltration, and access token extraction.","[{""source_name"": ""Securelist"", ""url"": ""https://securelist.com/toddycat-apt-steals-email-data-from-outlook/118044/""}]",,,intrusion-set--586c7136-582a-49e9-a588-e1620cc9c1f5,,,,ToddyCat,,,,,,,,,,intrusion-set,"The object contains information about an Advanced Persistent Threat (APT) group known as ToddyCat. The group is recognized for its sophisticated techniques used to covertly access business correspondence and credentials from target organizations.

ToddyCat has been identified as a threat actor that targets various Microsoft platforms, including Exchange Server, Microsoft 365, and Gmail. The group utilizes custom tools for stealing credentials, exfiltrating emails, and extracting access tokens.

Additionally, ToddyCat has been linked to an incident reported by Securelist, which provides further insight into the group's activities."
"[""CL-CRI-1036""]",,,"CL-CRI-1036 is a cluster of financially motivated malicious activity tracked by Unit 42. The actors behind this intrusion set have used 01flip ransomware and Sliver implants in attacks against organizations in the Asia-Pacific region, including critical infrastructure. The group is associated with manual exploitation, data leaks on dark web forums, and ransomware deployment.","[{""source_name"": ""Unit42"", ""url"": ""https://unit42.paloaltonetworks.com/unit-42-attribution-framework/""}]",,"[""financial gain"", ""data theft"", ""ransomware deployment""]",intrusion-set--d74dd6a1-f871-4530-9603-2d27e1b83fd4,"[""cybercrime"", ""ransomware"", ""Asia-Pacific"", ""critical infrastructure"", ""data leak"", ""manual exploitation""]",,,CL-CRI-1036,,financial,,organization,,,,,,intrusion-set,"The object contains information about an intrusion set tracked by Unit 42, specifically CL-CRI-1036. The group behind this intrusion set has been involved in financially motivated malicious activity, primarily targeting organizations in the Asia-Pacific region.

The actors have utilized various tactics, including the deployment of 01flip ransomware and Sliver implants, to carry out their attacks. These operations have resulted in data leaks on dark web forums, manual exploitation of systems, and ransomware deployment against critical infrastructure.

The primary motivation behind CL-CRI-1036's actions is financial gain, with secondary goals including data theft and ransomware deployment. The intrusion set has been associated with cybercrime, ransomware, and data leak activities in the Asia-Pacific region.

Key characteristics of this intrusion set include its focus on financially motivated malicious activity, manual exploitation, and ransomware deployment. The group's tactics have been tracked by Unit 42, providing insight into their methods and motivations."
"[""Thallium"", ""Black Banshee"", ""Velvet Chollima""]",,,"Kimsuky is a North Korea-linked threat actor (DPRK nexus) known for targeting South Korean organizations and individuals with spear-phishing, credential theft, and malware campaigns. Kimsuky has consistently operated since at least the 2010s and is attributed with the development and deployment of KimJongRAT and related malware families. The group employs sophisticated social engineering, infrastructure leveraging cloud services, and tailored spear-phishing using victims’ personal information.","[{""source_name"": ""Unit 42"", ""url"": ""https://unit42.paloaltonetworks.com/new-babyshark-malware-targets-u-s-national-security-think-tanks/""}]",2013-01-01T00:00:00Z,"[""Espionage"", ""Credential Theft"", ""Data Exfiltration"", ""Targeting South Korean entities""]",intrusion-set--9b78caad-eca2-4d00-93b3-e6a09b5d8c28,,,,Kimsuky,,espionage,,organization,,,,,,intrusion-set,"The object contains information about Kimsuky, a North Korea-linked threat actor group. The group is known for targeting South Korean organizations and individuals with various malicious activities.

Kimsuky has been consistently operating since at least the 2010s and is attributed to the development and deployment of KimJongRAT and related malware families. They employ sophisticated social engineering tactics, leverage cloud services, and use tailored spear-phishing campaigns using victims' personal information.

The primary motivation of Kimsuky is espionage, with secondary goals including credential theft, data exfiltration, and targeting South Korean entities. The group's threat actor types are not explicitly stated in the provided metadata, but it is clear that they pose a significant threat to organizations and individuals in South Korea.

It's worth noting that Kimsuky has been linked to other malicious activities, such as spear-phishing campaigns against US national security think tanks. This highlights the group's sophistication and willingness to target a wide range of victims across different regions."
"[""Blackfly"", ""Grayfly"", ""Redfly"", ""Earth Longzhi""]",,,"APT41 is one of the longest-running Chinese espionage groups, believed to be composed of multiple sub-groups, including Blackfly, Grayfly, Redfly, and Earth Longzhi. The group has targeted victims in Taiwan, China, Thailand, Malaysia, Indonesia, Pakistan, Ukraine, and the United States, focusing on espionage and monitoring foreign governments' attitudes and policies toward China.",,2012-01-01T00:00:00Z,"[""Espionage"", ""Persistence"", ""Credential Access""]",intrusion-set--1121b7e1-5f0f-4efc-b8c8-ab5385988017,,,,APT41,,espionage,,nation-state,,,,,,intrusion-set,"The object contains information about APT41, a long-running Chinese espionage group. The group is believed to be composed of multiple sub-groups, including Blackfly, Grayfly, Redfly, and Earth Longzhi.

APT41 has targeted various countries, specifically Taiwan, China, Thailand, Malaysia, Indonesia, Pakistan, Ukraine, and the United States. Their focus areas include espionage and monitoring foreign governments' attitudes and policies toward China.

The primary motivations of APT41 are espionage, persistence, and credential access. They aim to gather sensitive information from their targets while maintaining a long-term presence in the compromised environments.

Notable aliases associated with this group include Blackfly, Grayfly, Redfly, and Earth Longzhi. These aliases suggest the diversity and complexity within the group's structure.

Overall, APT41 is considered a significant threat actor due to its extensive reach, sophisticated tactics, and persistent activities."
"[""Salt Typhoon"", ""Earth Estries""]",,,"Kelp (aka Salt Typhoon, Earth Estries) is a China-linked threat group that came to global prominence in 2024 for compromising the networks of multiple U.S. telecoms companies in the run-up to the 2024 U.S. presidential election, intercepting communications of campaign staff. The group shares tools with other Chinese actors and has targeted organizations in dozens of countries.",,2022-01-01T00:00:00Z,"[""Espionage"", ""Persistence""]",intrusion-set--204f5aa5-18b6-4817-bc1d-b7b52f851917,,,,Kelp,,espionage,,nation-state,,,,,,intrusion-set,"The object contains information about Kelp, a China-linked threat group that gained prominence in 2024 for its involvement in compromising the networks of multiple US telecoms companies. The group is also known as Salt Typhoon and Earth Estries.

Kelp's activities were particularly notable in the run-up to the 2024 US presidential election, where it intercepted communications of campaign staff. This espionage effort was part of a broader pattern of activity by Kelp, which shares tools with other Chinese actors and has targeted organizations in dozens of countries.

The group's primary motivations are espionage and persistence, suggesting that its main goal is to gather sensitive information from its targets while also maintaining a long-term presence on their networks. The object does not provide further detail about the secondary motivations or actions attributed to Kelp."
,,,"Space Pirates are China-linked threat actors believed to have been active since at least 2017, noted for carrying out attacks against Russian companies and sharing tools with other Chinese threat groups.",,2017-01-01T00:00:00Z,"[""Espionage""]",intrusion-set--e3604cb8-0438-4930-9a0e-f9b60154234f,,,,Space Pirates,,espionage,,nation-state,,,,,,intrusion-set,"The object contains information about the Space Pirates, a China-linked threat actor group. They are believed to have been active since at least 2017, indicating their malicious activities have spanned over five years.

These actors are noted for carrying out attacks against Russian companies and sharing tools with other Chinese threat groups. This suggests they operate in collaboration with other nation-state actors, possibly as part of broader efforts by the People's Republic of China to expand its cyber espionage capabilities.

The primary motivation of the Space Pirates is described as espionage. They seem to be driven primarily by the need for sensitive information from their adversaries' systems, likely using these resources to further Chinese national interests or acquire intelligence that could gain a strategic advantage in various areas such as technology and defense.

While the space pirates are primarily motivated by espionage, some have noted collaboration with other malicious actors, indicating a broad scope of operations possibly including but not limited to, economic sabotage and intellectual property theft."
"[""Medusa ransomware""]",,,"Medusa is a ransomware-as-a-service (RaaS) group active in 2025, known for exploiting SimpleHelp RMM vulnerabilities to gain initial access, exfiltrate data, and encrypt victim systems. Medusa employs double extortion tactics and operates a dark web leak site.","[{""source_name"": ""ZenSec Medusa"", ""url"": ""https://zensec.co.uk/medusa-ransomware/""}]",,,intrusion-set--ed59cbae-8883-4606-90c7-a8f02575ae59,,,,Medusa,,,,,,,,,,intrusion-set,"The object contains information about Medusa ransomware. The ransomware group is described as a service-based operation that became active in 2025. It primarily exploits vulnerabilities in the SimpleHelp RMM system to gain access to and encrypt victim systems, ultimately exfiltrating data.

Medusa's tactics include double extortion methods, where both the encrypted files and backups are demanded for payment. Additionally, the group operates a dark web leak site, providing a platform for leaked data to be shared.

The Medusa ransomware was identified by security firm ZenSec in their report available at https://zensec.co.uk/medusa-ransomware/."
"[""DragonForce ransomware"", ""Dragon Force""]",,,"DragonForce is a ransomware-as-a-service (RaaS) group active since 2023, known for exploiting SimpleHelp RMM vulnerabilities, exfiltrating data with Restic, and encrypting victim systems. The group uses double extortion and operates public-facing blogs and data leak sites.","[{""source_name"": ""ZenSec DragonForce"", ""url"": ""https://zensec.co.uk/dragonforce-ransomware/""}]",,,intrusion-set--081b8c46-7594-4402-9850-4c76a692c69e,,,,DragonForce,,,,,,,,,,intrusion-set,"The object contains information about a ransomware-as-a-service (RaaS) group known as DragonForce. The group is active since 2023 and is primarily known for exploiting vulnerabilities in SimpleHelp RMM to infect systems.

DragonForce uses double extortion tactics, which involve exfiltrating data from the victim's system before encrypting it. They also utilize a Restic tool to encrypt the encrypted data, making it even more difficult for victims to recover their files.

The group operates public-facing blogs and data leak sites, where they publish stolen data to extort money from victims. This approach allows them to maintain an online presence while carrying out their malicious activities.

DragonForce is considered a RaaS group, meaning that they provide pre-built ransomware tools to other attackers who can purchase or rent these tools to carry out attacks on their own."
"[""Calypso""]",,,"Calypso is a China-linked APT group known for using PlugX and its variants (including Talisman and MetaRAT) in attacks against government, telecom, and maritime organizations. Calypso has targeted organizations in Japan, Russia, and other Asian countries.","[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage"", ""data theft""]",intrusion-set--d9fcf4c9-32a3-41f0-8a50-4ac6110a6db2,,,,Calypso,,,,,,,,,,intrusion-set,"The object contains information about a cyber threat actor known as Calypso. Calypso is a China-linked APT (Advanced Persistent Threat) group that has been linked to various malicious activities.

Calypso's primary goal is espionage, and they also engage in data theft. They are known for using PlugX and its variants, including Talisman and MetaRAT, in their attacks against government, telecom, and maritime organizations.

The targets of Calypso's attacks include organizations in Japan, Russia, and other Asian countries. These threats have been observed across different regions, but the exact extent of their reach is not clear.

Notably, Calypso has been linked to a specific report from lacwatch that provides additional information on their activities."
"[""Space Pirates""]",,,"Space Pirates is a China-linked APT group known for using Talisman and MetaRAT malware in attacks against Asian organizations, including Japan.","[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage"", ""data theft""]",intrusion-set--f0295be5-d3b1-4871-a0ec-1ba7ee2101e3,,,,Space Pirates,,,,,,,,,,intrusion-set,"The object contains a detailed profile of the Space Pirates, a China-linked Advanced Persistent Threat (APT) group. The group is known for its malicious activities against Asian organizations, particularly those in Japan.

Space Pirates uses malware such as Talisman and MetaRAT to carry out their attacks. Their primary motivations include espionage and data theft."
"[""RedFoxtrot""]",,,"RedFoxtrot is a China-linked APT group reported by Recorded Future, known for using Talisman malware in attacks targeting government and enterprise organizations.","[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage"", ""data theft""]",intrusion-set--13ff2fc8-53e7-435a-a01b-6a3b86f85c2d,,,,RedFoxtrot,,,,,,,,,,intrusion-set,"The object contains information about a cyber threat actor known as RedFoxtrot. It is reported by Recorded Future to be a China-linked Advanced Persistent Threat (APT) group that utilizes Talisman malware in its attacks against government and enterprise organizations.

RedFoxtrot's primary objectives include espionage and data theft, indicating that the group aims to compromise sensitive information and intellectual property from targeted entities. The threat actor's methods involve using tailored malware solutions to gain unauthorized access to systems.

The threat actor has been identified through an external report by lacwatch, a reputable security monitoring source."
"[""Mustang Panda""]",,,Mustang Panda is a China-linked APT group known for using PlugX and its variants in targeted attacks.,"[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage"", ""data theft""]",intrusion-set--df38821c-695b-4d10-aa55-5a05d668cf17,,,,Mustang Panda,,,,,,,,,,intrusion-set,"The object contains a detailed description of the Mustang Panda APT group, a China-linked threat actor known for its targeted attacks utilizing PlugX and its variants. The group is recognized for carrying out espionage and data theft operations.

Mustang Panda's primary activities involve using advanced tools such as PlugX and its variants in order to achieve their objectives. This indicates that the group relies heavily on sophisticated malware to execute their missions."
"[""APT10""]",,,APT10 is a China-linked APT group known for using PlugX and its variants in cyber espionage campaigns.,"[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage"", ""data theft""]",intrusion-set--4865f33b-920f-4d55-8fd2-6fb25869a0dd,,,,APT10,,,,,,,,,,intrusion-set,"The object contains information about APT10, a China-linked Advanced Persistent Threat (APT) group. 

APT10 is known for its use of PlugX and its variants in cyber espionage campaigns. The group's primary goal is espionage and data theft. 

A key piece of evidence supporting the existence of APT10 can be found in a report from LacWatch, a cybersecurity news outlet, which provides details about various APT groups."
"[""APT41""]",,,APT41 is a China-linked APT group known for using PlugX and its variants in cyber espionage and financially motivated attacks.,"[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage"", ""financial gain""]",intrusion-set--431f285c-9b64-4191-bb3c-282e363fae60,,,,APT41,,,,,,,,,,intrusion-set,"The object contains information about a malicious Actor Profile (APT41) that is linked to China. APT41 is known for its involvement in cyber espionage and financially motivated attacks, primarily utilizing PlugX and its variants as tools of choice.

APT41's objectives are centered around espionage and financial gain, with the group employing various tactics to achieve these goals. The profile does not provide specific details on the group's first or last encounters, suggesting that there is limited publicly available information on their activities.

Notably, APT41 has been linked to a PlugX-based attack that was reported by LacWatch in 2025 as part of an assessment of known threat actor groups."
"[""LuoYu""]",,,LuoYu is a China-linked APT group known for using PlugX and its variants in targeted attacks.,"[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage"", ""data theft""]",intrusion-set--3df715d9-dba9-4c28-be0f-8ec2b3907d4a,,,,LuoYu,,,,,,,,,,intrusion-set,"The object contains information about a cyber threat actor group known as LuoYu. LuoYu is a China-linked APT (Advanced Persistent Threat) group that has been involved in targeted attacks. The group primarily uses PlugX and its variants in their malicious activities.

LuoYu's goals include espionage and data theft, indicating that the group's primary motivation is to gather sensitive information from their targets while also stealing valuable data. 

The object lacks certain metadata fields, including country of origin, creation date, first seen date, last seen date, modified date, labels, primary motivation, resource level, roles, secondary motivations, and targets."
"[""Naikon""]",,,"Naikon is an APT group known for using RATs such as Turian and RainyDay, which share code similarities with MetaRAT and PlugX.","[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage""]",intrusion-set--66941beb-2761-4c09-9aa3-21a12addd0e5,,,,Naikon,,,,,,,,,,intrusion-set,"The object contains information about an APT (Advanced Persistent Threat) group known as Naikon. The group is recognized for utilizing Remote Access Trojans (RATs) like Turian and RainyDay, which exhibit similarities in code to other well-known RATs such as MetaRAT and PlugX.

Naikon's primary focus is espionage, with the group aiming to gain unauthorized access to sensitive information."
"[""BackdoorDiplomacy""]",,,"BackdoorDiplomacy is an APT group known for using Turian RAT, which shares code similarities with MetaRAT and PlugX.","[{""source_name"": ""lacwatch"", ""url"": ""https://www.lac.co.jp/lacwatch/report/20251208_004569.html""}]",,"[""espionage""]",intrusion-set--11df7e74-da8a-4b6c-921e-f5d0e157dc16,,,,BackdoorDiplomacy,,,,,,,,,,intrusion-set,"The object contains information about an Advanced Persistent Threat (APT) group known as BackdoorDiplomacy. The group is associated with the use of Turian RAT, a type of remote access trojan that shares code similarities with other well-known APT tools such as MetaRAT and PlugX.

BackdoorDiplomacy is recognized for its espionage activities, indicating that the primary goal of this APT group is to gather sensitive information from targeted organizations. The object does not provide further details on the specific methods or techniques used by BackdoorDiplomacy to achieve these goals, but it highlights the group's sophisticated and potentially malicious capabilities.

The external reference provided in the metadata links back to a report on LacWatch, a Japanese cybersecurity news website, which provides more information about this APT group. However, the object does not delve into the details of this report or offer any additional insights beyond what is already mentioned.

Overall, the object serves as a brief introduction to BackdoorDiplomacy, an APT group known for its sophisticated and espionage-focused activities."
